gen,N,a_bar_1,z_opt_1,G_11,eig_G_1,mu_1,b_1,a_bar_2,z_opt_2,G_22,eig_G_2,mu_2,b_2,a_bar_3,z_opt_3,G_33,eig_G_3,mu_3,b_3,a_bar_4,z_opt_4,G_44,eig_G_4,mu_4,b_4,b_norm,V_lin,V_quad,A_g,R2_empirical,Ag_minus_R2
1,2000,-5.662000000583589e-08,0.0,2.6647711353299184,2.6662055930829416,0.2665185129463833,5.66200000058359e-09,1.823500000019962e-08,0.0,2.0619789562618918,2.061856716463799,0.10309864125708065,-9.11750000009981e-10,6.07435000059553e-08,0.0,0.7678305755936594,0.7669774273160549,0.030683440695399203,-2.429740000238212e-09,-1.74550000027196e-08,0.0,0.4441095420534133,0.44365047237608735,0.013311975732572168,5.23650000081588e-10,6.250390216656061e-09,9.264076816591671e-17,0.041390064901510176,2.238236842255746e-15,0.002392257848621295,-0.0023922578486190566
2,2000,0.035339927635,0.3,2.3227891900232662,2.325487305405854,0.23231631648815396,0.0264660072365,0.018854715901499994,0.0,1.9747197206517526,1.9722977167868372,0.09870662194797573,-0.0009427357950749998,0.012131751965800006,0.0,0.7860149535485245,0.7859177675290905,0.03143722037770616,-0.0004852700786320002,0.0281457759429,0.0,0.4406142048229486,0.44043527932471055,0.013213770507707919,-0.0008443732782869999,0.02650069325704682,0.0016315667359251872,0.032438385339555766,0.047888729996170824,0.06078008824111143,-0.012891358244940608
3,2000,0.12333254334649998,0.6,2.1239282365715355,2.1267450708147346,0.21242149267124472,0.04766674566535,0.003947538205000001,0.0,1.9687198929067438,1.9665231145285724,0.09842461404438219,-0.00019737691025000005,0.03448162274000001,0.0,0.7697014921844706,0.7709987589163859,0.030816727209206723,-0.0013792649096000004,0.05226534545,0.0,0.4105471707723854,0.4086298481754415,0.012270459188207407,-0.0015679603635,0.04771287532063252,0.004830272545898573,0.027955265021520712,0.14732936850480896,0.16616025644172142,-0.018830887936912455
4,2000,0.22179292778399998,0.9,2.1347498955925475,2.135266720584088,0.21348398021946507,0.06782070722160001,0.04636529343799999,0.0,1.9973694670309294,1.9972796111147688,0.09987166754415165,-0.0023182646718999996,0.031239550192000004,0.0,0.7996401674596301,0.8006414246020499,0.03200792099437571,-0.0012495820076800002,0.060222069521500006,0.0,0.41233419457013404,0.41090596835233284,0.012335526688297961,-0.001806662085645,0.06789586262956376,0.009828697041164005,0.028363216006727216,0.25735021518401524,0.2545289551826355,0.0028212600013797218
5,2000,0.35903727220500004,1.2,2.2711622764464545,2.2859986811368036,0.2272847856037294,0.08409627277949999,0.09476286881499998,0.0,2.008261922579434,1.9943709173062878,0.1002718442825461,-0.004738143440749999,0.079890513698,0.0,0.7372577091740065,0.7425726377322822,0.029603777276804893,-0.0031956205479200003,0.061303942053049995,0.0,0.44353703413794116,0.43727670616246284,0.013165336001635254,-0.0018391182615914998,0.0843103045026858,0.016177898342892585,0.03138126311192351,0.3401636582314957,0.2919754262841105,0.048188231947385196
6,2000,0.5129905153300001,1.5,2.1342816545630456,2.1562961344988882,0.21360062864244422,0.098700948467,0.0803246248575,0.0,2.0178060347209428,1.9974699249149805,0.1007676644728626,-0.004016231242875,0.050944776256,0.0,0.6883075297488577,0.6871968217936385,0.027496471765215767,-0.0020377910502400003,0.08611907680650001,0.0,0.44362366922712604,0.44305600705246456,0.01329471357859722,-0.002583572304195,0.09883741589042622,0.020874796545614804,0.02835607806421751,0.4240183972162404,0.4071164693859073,0.01690192783033312
7,2000,0.65558095175,1.8,2.276684786132049,2.2769646963300882,0.2276747257451957,0.11444190482500001,0.119698174994,0.0,1.9955996366910753,1.9962364262736612,0.09980432599019316,-0.005984908749700001,0.078200468557,0.0,0.7394134059075455,0.7388110997410573,0.029553536099434532,-0.00312801874228,0.102141060473,0.0,0.4593829255104691,0.4590685318963315,0.013773896614550927,-0.00306423181419,0.11468191980682807,0.029886305933034336,0.03142990797671793,0.4874127743278839,0.4856733414332081,0.0017394328946757631
8,2000,0.83317907823945,2.1,2.1963992671599954,2.196796197746539,0.21964402456234555,0.12668209217605503,0.109023163662,0.0,1.9941885046845567,1.9941728035268051,0.09971616071323422,-0.005451158183100001,0.09732878452,0.0,0.6855033947745017,0.6855768011566468,0.02742070010911137,-0.0038931513808,0.10753550930349999,0.0,0.43198988413082107,0.4315352483198834,0.012948298880441063,-0.0032260652791049997,0.12690008561265256,0.035325272891933844,0.029553181735851416,0.5444838828945414,0.5448315025324338,-0.0003476196378924268
9,2000,1.0695933094110002,2.4,2.1887900808761214,2.2152887568171984,0.21918262158500842,0.13304066905889997,0.13835778638100002,0.0,1.94302877993932,1.9169623163284397,0.09686083464711683,-0.006917889319050002,0.11865880556395002,0.0,0.7716800040480398,0.7712657745795383,0.030854627090390364,-0.004746352222558001,0.1066515703888,0.0,0.44711669010579463,0.4470987072440989,0.013413064627158086,-0.0031995471116639997,0.13334332295773457,0.03872878634575465,0.02927748060449622,0.5694884910251905,0.5741300642762005,-0.0046415732510100005
10,2000,1.35265388661,2.7,2.156378305136825,2.1586782193172462,0.21566775756630124,0.13473461133900003,0.148412825479,0.0,1.9332147192003257,1.9318371367502984,0.09665758553598958,-0.00742064127395,0.0827692490435,0.0,0.7080752485715703,0.7097791203942022,0.028355822148097915,-0.00331076996174,0.1284682078943,0.0,0.4310284480068471,0.4284022444538217,0.012871264606378233,-0.003854046236829,0.13503442627612866,0.03934434242253316,0.028412496298793014,0.5806696883299205,0.5606411767690095,0.02002851156091101
11,2000,1.511066556265,3.0,2.20192740950335,2.2021478206328426,0.2201956280988115,0.1488933443735,0.11276012169550001,0.0,1.9715930016546825,1.9744120674374277,0.09867792314592706,-0.0056380060847750005,0.06287088532,0.0,0.750894009008833,0.7488293831310118,0.02996041467303884,-0.0025148354128,0.10797707364325002,0.0,0.4126800620525123,0.4117052110180962,0.012354587337220328,-0.0032393122092975,0.14905647470700625,0.04890817282802665,0.02963685471293854,0.6226768817735607,0.6503673285380355,-0.02769044676447474
12,2000,1.7808277019429999,3.3,2.156513298669172,2.1565882608294547,0.2156527185382645,0.1519172298057,0.069141920375,0.0,1.9790341694536957,1.9798869921839855,0.09898067971598434,-0.00345709601875,0.043001624325,0.0,0.7304575278030817,0.7298491205179625,0.029196519133942136,-0.0017200649730000001,0.146173977805,0.0,0.4240651182651244,0.4237457406596717,0.012713375611488279,-0.004385219334149999,0.15202955303769286,0.04979691692808715,0.02865866830947976,0.6347147469144476,0.6530744632357232,-0.018359716321275532
13,2000,2.02282257399,3.6,2.1792125351227214,2.186923230974802,0.2180005527096685,0.15771774260100002,0.03760117136499999,0.0,1.9547742251887479,1.9486164205364835,0.0977111261960702,-0.0018800585682499996,0.017764666335000002,0.0,0.7480979766299808,0.7468906045760513,0.029881148472081568,-0.0007105866534,0.145208324383,0.0,0.4292972357047273,0.4289517165588393,0.012869973530230314,-0.004356249731489999,0.15779069299705367,0.05424975703240872,0.029065112208452367,0.6511413571996867,0.6540458041427711,-0.002904446943084449
14,2000,2.3105394299005,3.9,2.099924224274146,2.1308153928026097,0.21025056959726962,0.15894605700995001,0.07408465496995,0.0,1.9428540342611111,1.9134013233833782,0.0969251877790107,-0.0037042327484975,0.0287985918685,0.0,0.7526677794916419,0.7526735854568071,0.030103753136572847,-0.00115194367474,0.15632142670299998,0.0,0.42296578400602447,0.42152152039012875,0.012651298327463666,-0.004689642801089999,0.15906253519637145,0.0531717715311705,0.02733304267212546,0.6604794018516421,0.6871619607878311,-0.026682558936188983
15,2000,2.5837111435135003,4.2,2.028633641098834,2.0314876194511804,0.20287566316660416,0.16162888564865,0.036110938631999996,0.0,1.9467131535647035,1.945635216778653,0.09738369520083312,-0.0018055469316,0.03605889818045,0.0,0.7224717353143038,0.7224213404545979,0.028878119667626337,-0.001442355927218,0.1589072383506,0.0,0.4305752058313748,0.4288495591247862,0.012877669340568453,-0.004767217150518,0.16171568701188999,0.05301354577272374,0.025820949479720464,0.672466356294456,0.6746369471994158,-0.002170590904959857
16,2000,2.897603824645,4.5,2.017739801848829,2.0263176370508487,0.20182618528311327,0.1602396175355,0.05769620663800001,0.0,2.018157076824047,2.0133290044135,0.1009629422379566,-0.0028848103319000003,0.0531830154205,0.0,0.7108681329099166,0.7105547526562521,0.028410892834973174,-0.0021273206168200003,0.153295875595,0.0,0.4574868704362085,0.45405048789840025,0.01364114509952503,-0.00459887626785,0.16034566509422105,0.051791935057452776,0.025960292221292605,0.6661151309759431,0.6503885443274908,0.01572658664845228
17,2000,3.16515874373,4.8,2.186419900982605,2.201312870245463,0.2187923119690294,0.163484125627,0.046536403465000015,0.0,1.989180488108914,1.977495366964373,0.09940895212678885,-0.002326820173250001,0.0341480684083,0.0,0.7679311412946493,0.7659169206068968,0.030648134402928545,-0.001365922736332,0.162559289164,0.0,0.4600935380430201,0.4588999106124564,0.013771667798035734,-0.00487677867492,0.16357910055783148,0.05853147995408663,0.029440591258009404,0.6653416152152462,0.6996644534341633,-0.03432283821891713
18,2000,3.4806450349999993,5.1,1.9695319521769572,1.9779591227645197,0.19696127333210162,0.16193549650000005,-0.005142334203250011,0.0,1.9774994197007436,1.9694854151383172,0.0988786516545822,0.0002571167101625005,0.035133810513054996,0.0,0.7629461136535556,0.7631374205930107,0.030520363133562475,-0.0014053524205221999,0.16152306394160001,0.0,0.43084981530562605,0.4302453423410354,0.012911217087797546,-0.004845691918248,0.16201427986846287,0.05169333276020447,0.02483446151906192,0.6754844203605865,0.6739645529621152,0.0015198673984713196
19,2000,3.7643787721999997,5.4,1.8383991383908596,1.978339730397455,0.18399171106085221,0.16356212278000007,-0.04150644671,0.0,1.9627301322771193,1.8237074098409687,0.09801017360810414,0.0020753223355,0.004551728496500005,0.0,0.7822109177277997,0.7827539040011604,0.03129678907480066,-0.0001820691398600002,0.1384819749305,0.0,0.424876394025068,0.4234155381812629,0.012712475239048853,-0.004154459247914999,0.16362813832562637,0.04915603679755833,0.02230001995144344,0.6879198074170954,0.7122729946461249,-0.02435318722902957
20,2000,3.9935121355,5.7,1.869791625146095,2.0094087386317767,0.1871412297645745,0.17064878645000003,-0.025793542051,0.0,1.9890025074400113,1.8519596304918042,0.09937379558982175,0.00128967710255,0.003466697903899998,0.0,0.7728311084654198,0.7709070688305865,0.03084338242433188,-0.00013866791615599992,0.1263962881645,0.0,0.40967144790123244,0.40902125099859094,0.01227426788353577,-0.0037918886449349997,0.17069583835633814,0.0545131015328189,0.02299948150958766,0.7032806725457103,0.7250359860509515,-0.02175531350524129
21,2000,4.2420275179,6.0,1.8561466673746623,1.9751142971006257,0.18613871648131552,0.17579724820999998,-0.008274009524999988,0.0,1.8949416103519718,1.7765193379254853,0.09423864947031008,0.0004137004762499994,-0.012767561838999998,0.0,0.724843513896766,0.7264931052821837,0.02902885242423817,0.00051070247356,0.10116952882949999,0.0,0.41641672597167495,0.41422177728678056,0.01244177121422204,-0.0030350858648849994,0.17582467457531697,0.05740003610129046,0.022263008385657375,0.7205353055605979,0.737597677161036,-0.01706237160043811
22,2000,4.495354305500001,6.3,1.8479801347521965,1.954574069391704,0.1857444802420392,0.1804645694499999,0.031243694214000008,0.0,1.7844468472922388,1.6792672684710355,0.0883218856433653,-0.0015621847107000005,-0.032127627438399996,0.0,0.7081072075179792,0.7084197636331031,0.02831536808051487,0.0012851050975359998,0.0975387642125,0.0,0.4397290573712164,0.43800214543778754,0.013154781895767891,-0.002926162926375,0.18049962651603352,0.060141178552944194,0.021638287890122627,0.7354068346094339,0.7575156063761274,-0.022108771766693458
23,2000,4.749056943,6.6,1.8893804115513322,1.9901667763849376,0.1894744213389568,0.18509430569999996,0.10138049433499997,0.0,1.8910286308697724,1.7914114346599954,0.09405327455739282,-0.005069024716749999,0.0004516692145000043,0.0,0.7124667133875328,0.711372824407971,0.028462073746970084,-1.8066768580000173e-05,0.0824964041435,0.0,0.4337166067701255,0.4336413271258584,0.013009869793907164,-0.0024748921243049997,0.1851802430919107,0.06459543083093983,0.022862960575366624,0.7385847120243509,0.7626226820514388,-0.02403797002708785
24,2000,5.09291992,6.9,1.6656802777799204,1.9371427762109352,0.1666485175718384,0.18070800800000006,0.12410323615649999,0.0,1.9334867852638946,1.6626905067701871,0.09661191811183009,-0.0062051618078249994,0.016776198909499995,0.0,0.738092433356288,0.737653989621554,0.029511572825490155,-0.0006710479563799999,0.0636702679992,0.0,0.41244554796210303,0.4122177717595282,0.012367422305142643,-0.001910108039976,0.18082584717477068,0.05439393713019858,0.019064738597623136,0.7404698844795188,0.7496293506834879,-0.009159466203969124
25,2000,5.353679418,7.2,1.663656887895337,1.9375937100690308,0.1664157345953249,0.18463205820000006,0.09057101129999998,0.0,1.9349005447568859,1.6611379004312932,0.09670023162839833,-0.004528550564999999,0.0032877537214999943,0.0,0.7532671907148937,0.7532135346734611,0.03012859549645506,-0.00013151014885999979,0.0439534406115,0.0,0.42132479773603954,0.42120427592937026,0.012636585867876535,-0.0013186032183449999,0.1846923406499432,0.05670799129941393,0.01905627354343639,0.7484793974710535,0.7843387735088065,-0.03585937603775302
26,2000,5.659617655,7.5,1.5215433102181601,2.0839775785197308,0.15362495441169458,0.1840382345,0.07333644323,0.0,2.0593251426042216,1.5018202547059722,0.10162085186327512,-0.0036668221615000006,0.018903172305,0.0,0.7464319265498947,0.7420988350059664,0.02974603981370103,-0.0007561268922000001,0.044825655147500004,0.0,0.4390946870635484,0.43849839820415365,0.01315885973725867,-0.001344769654425,0.18408122521306086,0.051391467877514196,0.017492703312798036,0.7460562708307916,0.7738503971873482,-0.027794126356556537
27,2000,5.928347136999999,7.8,1.5569150996524075,2.074748994132911,0.15570419616597542,0.18716528630000007,0.118053413556,0.0,2.071142769616008,1.55733360320277,0.10367499566393207,-0.005902670677800001,0.050942923757,0.0,0.7624457352753178,0.7594673535535887,0.030395513674881074,-0.00203771695028,0.078447081925,0.0,0.44771019256749267,0.44666384622195837,0.01340307812928995,-0.00235341245775,0.18728421385011954,0.05464146103445006,0.018047915592254323,0.7517117847228321,0.7772298840164639,-0.025518099293631802
28,2000,6.177290344999999,8.1,1.54203076565816,1.991625598340003,0.1542078462086395,0.19227096550000003,0.14315710003235,0.0,1.9910885581822597,1.5421437883755382,0.09956887398239535,-0.0071578550016175,0.06959835753499999,0.0,0.7503975216794734,0.7501563069051377,0.030007043291962864,-0.0027839343013999996,0.07851879615900001,0.0,0.45259407923087114,0.45218523113008574,0.01356746423603635,-0.00235556388477,0.19243871240978547,0.05709943290093609,0.01738925961567569,0.76655168686445,0.7981156881144065,-0.03156400124995651
29,2000,6.465249585,8.4,1.4281399609195375,1.9524483340419043,0.14283819079008306,0.19347504150000008,0.17100365638415002,0.0,1.9507249542578446,1.4290897392120139,0.09758592471741623,-0.008550182819207502,0.065860030015,0.0,0.7278243719979357,0.7265728157779276,0.02907646090840801,-0.0026344012006,0.0648546213045,0.0,0.43865133365300624,0.43722973179647856,0.013122182278446396,-0.0019456386391349999,0.19369156638601598,0.05358283934368086,0.01547169684892216,0.7759495943066018,0.7932900788312188,-0.017340484524617006
30,2000,6.7190503900000005,8.7,1.345126833856576,1.9027024591416555,0.13468773814619478,0.1980949609999999,0.1146918270495,0.0,1.9023800708261167,1.352565974997908,0.09512768136047345,-0.005734591352475,0.07102574425795,0.0,0.733833691031436,0.7267570147364337,0.029185639009952,-0.002841029770318,0.060032009551499996,0.0,0.45395416293081986,0.45326930976895274,0.013602600939525226,-0.0018009602865449999,0.19820649338425045,0.0527625533798363,0.014113447422348456,0.7889609538091968,0.8073300566382169,-0.018369102829020045
31,2000,6.93556941,9.0,1.366186736220062,1.9243611506044853,0.13670192994263514,0.20644305899999998,0.12128777876499998,0.0,1.9221509037473186,1.3671150780899761,0.09611317758453626,-0.006064388938249999,0.058797913705250004,0.0,0.7595063028557765,0.7568728611253028,0.03030377510851375,-0.0023519165482100003,0.066865874337,0.0,0.4403175641026239,0.43981241710601804,0.013197115210996768,-0.00200597623011,0.20655524412262535,0.05833584636240047,0.014508821595578715,0.800825207907486,0.8208915428250289,-0.02006633491754284
32,2000,7.193041485,9.3,1.3203745286154527,1.8977742501545503,0.13219266349259534,0.21069585150000006,0.0964239729475,0.0,1.8969211363933205,1.3272304098890249,0.09487392816807409,-0.0048211986473750005,0.06467221428,0.0,0.743312919748343,0.7371757702001744,0.029584370019654797,-0.0025868885712,0.0556789344215,0.0,0.4726620357712376,0.4710901902846042,0.014144925863958133,-0.001670368032645,0.2107734990874133,0.05860209328898364,0.013775638202232052,0.8096702132215352,0.8449763258620073,-0.03530611264047212
33,2000,7.47198245,9.6,1.271069454048121,1.9546934257966486,0.12759934344230076,0.212801755,0.091294814545,0.0,1.948960123952007,1.2674636874394125,0.09701603077222379,-0.00456474072725,0.06998674711450001,0.0,0.7332510183210366,0.7324678782565045,0.029303150070022474,-0.0027994698845800006,0.042706360477699996,0.0,0.43582712659489,0.4344827314234891,0.01304128184855372,-0.0012811908143309997,0.21287297214659365,0.057486125655828564,0.013361226154991478,0.811408248671464,0.8282195502188753,-0.016811301547411284
34,2000,7.6881615000000005,9.9,1.1422063421209099,2.0150029574826878,0.11434111400236881,0.22118385,0.081617654915,0.0,2.0137958729617162,1.1427832954946902,0.10061257517082174,-0.00408088274575,0.09350992569350002,0.0,0.7356742281802,0.7349938964273416,0.029411686785004974,-0.0037403970277400007,0.039808538646049996,0.0,0.41681753844762076,0.4157138323057268,0.01247654718261782,-0.0011942561593814998,0.2212563353273899,0.0559261154343943,0.012108746091473152,0.8220214487117123,0.8383815542121207,-0.01636010550040834
35,2000,7.9459113299999995,10.2,1.1336296564791708,1.8816664616584506,0.11345654757781712,0.22540886699999998,0.08734510298400001,0.0,1.8801761052288488,1.1381933403137126,0.09406165546866425,-0.004367255149200001,0.09015934962924999,0.0,0.7024780007646718,0.6965333036133974,0.027955212935691868,-0.0036063739851699994,0.05532939271350001,0.0,0.42752076718907367,0.42741142407620347,0.012823097973445286,-0.0016598817814050002,0.22548612236812057,0.05757079195579502,0.01133295449484982,0.8355248432976352,0.842823470739809,-0.0072986274421737996
36,2000,8.186353429999999,10.5,1.086365503671771,1.96075070074139,0.10893320342804913,0.23136465700000014,0.079326832028,0.0,1.9599838409021626,1.0915181399249163,0.0978143406147405,-0.0039663416014,0.08912318520100002,0.0,0.7484310454309271,0.7471924525389183,0.02992545991560993,-0.0035649274080400005,0.07679864293250001,0.0,0.4498017097797011,0.4451208065793352,0.013394031564513718,-0.002303959287975,0.23143757972777879,0.05810298161552736,0.011254510635852592,0.8377318690378592,0.8463884767572605,-0.008656607719401244
37,2000,8.398730445000002,10.8,1.0433452529417224,1.97716492040893,0.10594824545722101,0.2401269554999999,0.023043837446999994,0.0,1.974653402815033,1.0417400537902208,0.09713611059898225,-0.0011521918723499996,0.0846578753,0.0,0.7204766311989935,0.721575751761882,0.02884398191737101,-0.0033863150120000004,0.0781920665385,0.0,0.4496488002530655,0.44764336124778065,0.013447386716901485,-0.002345761996155,0.2401650516468055,0.060134970023680824,0.010836631100062381,0.8473103195013444,0.8606844047799456,-0.013374085278601178
38,2000,8.622706299999999,11.1,0.9613171346032116,1.8639123879749382,0.10035681025944326,0.24772937000000006,0.0175170542965,0.0,1.8557500216912979,0.955466035212649,0.08861560064308507,-0.000875852714825,0.08902181666999999,0.0,0.7833793152178762,0.7841216079327056,0.031351458393966414,-0.0035608726668,0.07002764620650001,0.0,0.4358664686419004,0.43281290903399305,0.013006511916363234,-0.0021008293861950003,0.24776541561895613,0.05899845785451869,0.009538148669221884,0.8608313257249184,0.8729092011753194,-0.012077875450401065
39,2000,8.814403035,11.4,0.8857306946038408,1.7923701617649375,0.09164588973208718,0.25855969650000005,0.051008445494499996,0.0,1.7908759284647744,0.8847840566224121,0.08648175237985985,-0.002550422274725,0.119037207495,0.0,0.7080606280494744,0.7111600707143692,0.028386352201896236,-0.0047614882998,0.050990256564250006,0.0,0.45357549108558454,0.44992845310195506,0.013532561424325957,-0.0015297076969275,0.2586206354574567,0.05919593206385066,0.008433488904755275,0.8752985197275286,0.8902999022850046,-0.015001382557475962
40,2000,9.04592473,11.7,0.8032016261601069,1.7875198005038369,0.0892906602551787,0.265407527,0.013508936356999993,0.0,1.7816670066135456,0.8314785321047486,0.08051130985313087,-0.0006754468178499996,0.1053529830425,0.0,0.7505324001730402,0.7165748385513832,0.029626495854186714,-0.0042141193217000005,0.050130508548349995,0.0,0.4344398040661097,0.43426766585283383,0.013029537113096531,-0.0015039152564504997,0.26544610032813737,0.056479398405763506,0.007751195558526156,0.8793223745862354,0.891396473902939,-0.012074099316703557
41,2000,9.236722895,12.0,0.7730767542322853,1.853132794459494,0.09264177284330646,0.27632771050000005,0.029770450805000008,0.0,1.8490898984590345,0.7947286506405695,0.07737735365543649,-0.0014885225402500005,0.11349397148499998,0.0,0.7305354792966118,0.7079642103098751,0.02903150439073781,-0.0045397588594,0.0421412792605,0.0,0.44310405348963683,0.4399805300676306,0.013226080233253145,-0.001264238377815,0.2763718997993503,0.05898123045605351,0.007793755189897575,0.883283311639766,0.8957087004270667,-0.012425388787300706
42,2000,9.37151018,12.0,0.7802032425913629,1.9531962551235544,0.09763259487368761,0.26284898200000006,0.009715801259149998,0.0,1.950831028943574,0.7899613062519127,0.07802982085465476,-0.00048579006295749994,0.1471847781511,0.0,0.7695143704718415,0.757510590945238,0.03068317980828681,-0.005887391126044,0.06226288407299999,0.0,0.43668501097003587,0.43656550065611016,0.013097405317660437,-0.0018678865221899996,0.26292199167196423,0.05388803665913773,0.008366888036790943,0.8656027924271489,0.8816795767586383,-0.016076784331489402
43,2000,9.53152138,12.0,0.7120825713314616,1.8979445217852675,0.0949268617200344,0.24684786200000008,0.03853336500499999,0.0,1.8961783582016727,0.761874845338642,0.07119194845488688,-0.0019266682502499998,0.13098872734150002,0.0,0.754544399735515,0.7124572901729205,0.030268611631330926,-0.005239549093660001,0.068381698863,0.0,0.44845857254722327,0.4389872445190408,0.01326528640281472,-0.0020514509658899997,0.2469195017617846,0.04345146540898928,0.007585779637127437,0.851367768180414,0.8631626255954405,-0.011794857415026505
