figure_id	command	expected_outputs	status	notes
F1	test -s figures/figure1_channel.pdf	figures/figure1_channel.pdf	CURATED_FINAL	Figure 1 (channel schematic). Curated final PDF.
F2	test -s figures/figure2_validation.pdf	figures/figure2_validation.pdf	CURATED_FINAL	Figure 2 (validation). Generating source archived in figure_sources/figure2/.
F3	test -s figures/figure3_framework.pdf	figures/figure3_framework.pdf	CURATED_FINAL	Figure 3 (framework schematic). Curated final PDF.
F4	test -s figures/figure4_trajectory.pdf	figures/figure4_trajectory.pdf	CURATED_FINAL	Figure 4 (trajectory). Generating source archived in figure_sources/figure4/ (internal name figure3_trajectory.py).
F5	test -s figures/figure5_natural_vs_breeding.pdf	figures/figure5_natural_vs_breeding.pdf	CURATED_FINAL	Figure 5 (natural vs breeding). Generating source archived in figure_sources/figure5/ (internal name figure4_natural_vs_breeding.py).
S5.1	test -s figures/multiseed_4trait_moving.png	figures/multiseed_4trait_moving.png	REPRODUCIBLE_SIM	Appendix S5.1. Regenerate via slim/reproduce_appendix_s5.sh.
S5.2	test -s figures/cv_4trait_moving.png	figures/cv_4trait_moving.png	REPRODUCIBLE_SIM	Appendix S5.2. Regenerate via slim/reproduce_appendix_s5.sh.
S5.3	test -s figures/geom_invariants_4trait_moving.png	figures/geom_invariants_4trait_moving.png	REPRODUCIBLE_SIM	Appendix S5.3. Regenerate via slim/reproduce_appendix_s5.sh.
