gen,N,a_bar_1,z_opt_1,G_11,eig_G_1,mu_1,b_1,a_bar_2,z_opt_2,G_22,eig_G_2,mu_2,b_2,a_bar_3,z_opt_3,G_33,eig_G_3,mu_3,b_3,a_bar_4,z_opt_4,G_44,eig_G_4,mu_4,b_4,b_norm,V_lin,V_quad,A_g,R2_empirical,Ag_minus_R2
1,2000,-2.5959999987890114e-08,0.0,2.8668717515584436,2.871048202309778,0.28676932583839493,2.5959999987890114e-09,-1.538499999576004e-08,0.0,2.1782518076414736,2.1742848918546427,0.10883617509028784,7.69249999788002e-10,-1.0119486001514133e-07,0.0,1.3034856546046163,1.303423099366038,0.05213753324720117,4.047794400605653e-09,-2.662499996475276e-09,0.0,0.5164700055693235,0.5163230258434002,0.015490257713298735,7.987499989425828e-11,4.8705216436300715e-09,4.199454070289906e-17,0.048520114853609284,8.655078585366366e-16,0.0024527372780053106,-0.002452737278004445
2,2000,-0.006763079420300004,0.3,2.4839092217220564,2.4917349155456114,0.2485041302061462,0.030676307942030002,-0.019912860691999996,0.0,2.1273521331049947,2.120858496355078,0.10628839447669382,0.0009956430345999998,0.021026542781500006,0.0,1.3157294141604743,1.3161370970484496,0.05264033187138619,-0.0008410617112600003,0.016603416870499994,0.0,0.49503521610878387,0.4932954761471706,0.014805905322912148,-0.0004981025061149998,0.030708022810258334,0.0023456741630261367,0.03802087245095353,0.058109359352870364,0.06469010606314739,-0.006580746710277023
3,2000,0.082385327919,0.6,2.4430438135226717,2.4440955111637717,0.24431987262360821,0.0517614672081,0.007839662052500007,0.0,2.087622380757215,2.087036742833629,0.10437801684041333,-0.00039198310262500034,-0.006040995424999998,0.0,1.269666595241728,1.2697642970843939,0.05078907143943251,0.00024163981699999994,0.0027904045349999985,0.0,0.48472474846264285,0.48416098690246295,0.01452694575022236,-8.371213604999995e-05,0.05176358310444552,0.0065465145227801445,0.03668876624443169,0.15141602891462658,0.19016781056276452,-0.038751781648137945
4,2000,0.20332264125500002,0.9,2.452352796025339,2.4630189250067627,0.2453969756695385,0.06966773587450001,-0.0527897595755,0.0,2.064272349119622,2.0551591233315243,0.10309208127044442,0.002639487978775,0.0015097512675000004,0.0,1.2142413703997847,1.2175656597064293,0.0486539365929112,-6.0390050700000014e-05,0.0138408139323,0.0,0.5127220726774079,0.5078448801774361,0.015257220521934525,-0.00041522441796899997,0.06971898146806718,0.011893270802405065,0.03672382060623496,0.2446314754298823,0.25908012961549914,-0.014448654185616833
5,2000,0.39305840434699996,1.2,2.406935335409968,2.434562734061981,0.24106269155467308,0.0806941595653,-0.0593615400515,0.0,2.0916524557455847,2.0673990882216744,0.10431101004851503,0.0029680770025750005,0.0165772668875,0.0,1.1249440543272218,1.125826634093186,0.045005976218533326,-0.0006630906755000001,0.022134914281499996,0.0,0.5190848544049859,0.5148282435109196,0.015466786311793223,-0.0006640474284449998,0.0807541795653604,0.015739755492364945,0.035628383725561326,0.30641085567826337,0.3269992986874431,-0.020588443009179724
6,2000,0.59269763175,1.5,2.314088624209759,2.3218699778523892,0.23152924895454663,0.090730236825,-0.025723449187999996,0.0,1.9428815640207864,1.9364461085569653,0.0970580458328341,0.0012861724594,0.0009168827395000019,0.0,1.1609872686708413,1.1611204994556574,0.04644238009467825,-3.6675309580000073e-05,0.015285124710999999,0.0,0.5207843608634746,0.5193052318998495,0.015586287312694048,-0.00045855374132999994,0.0907405186811709,0.019062643189308035,0.032712942201698715,0.3681782261918984,0.3562531434259229,0.011925082765975481
7,2000,0.6899742786050002,1.8,2.5160913494719193,2.5177764407715233,0.2516507827589248,0.1110025721395,0.0437873124,0.0,1.9552734294267968,1.9549948020201116,0.09775871443016637,-0.00218936562,0.0030508145135000006,0.0,1.1730772526512587,1.173497125100006,0.04693339467200573,-0.00012203258054000002,0.037147430183499995,0.0,0.4737083535874323,0.4718820172457671,0.014164255271107783,-0.0011144229055049999,0.11102982110120671,0.030993351071837993,0.03764412618652096,0.4515514309358376,0.4273317159467961,0.02421971498904152
8,2000,0.940726317428,2.1,2.4467206891562334,2.4618102303735587,0.24502210909607353,0.11592736825720001,0.04124688137241999,0.0,1.9636815289350729,1.9615434659427622,0.09817136531914143,-0.0020623440686209998,-0.0022233596739999976,0.0,1.193656137398571,1.1841392966272457,0.04749821052145359,8.89343869599999e-05,0.05314135374750001,0.0,0.47929695933720806,0.47586232188351796,0.014289614701767461,-0.0015942406124250003,0.11595670522463689,0.032844206663502476,0.03606686200278888,0.476617288037627,0.4852360534857621,-0.008618765448135113
9,2000,1.20732091993,2.4,2.306477120656531,2.317785936964372,0.23076808619084943,0.119267908007,0.072870708281,0.0,2.0655425463391808,2.05530239559986,0.10318455279281907,-0.00364353541405,-0.056371847645499996,0.0,1.1535544949017316,1.153299204969189,0.04613565068853981,0.00225487390582,0.027495471129499998,0.0,0.4831455875735305,0.4823322119375511,0.014473097133678704,-0.0008248641338849999,0.1193477024824951,0.03278237223897883,0.03311946517216868,0.49744246180052004,0.5225760129533745,-0.025133551152854483
10,2000,1.3744531473500001,2.7,2.4380981780526807,2.4390875748603396,0.2438270431669197,0.132554685265,0.01595115726000001,0.0,1.9972901461878372,2.000523840264044,0.0999788947286917,-0.0007975578630000006,-0.06757597826,0.0,1.1574387296869624,1.1533132682549294,0.04616841545078788,0.0027030391304000002,0.027302940277049995,0.0,0.4920752163515509,0.4919775868997184,0.014759777446285772,-0.0008190882083114998,0.132587171363905,0.042863733910311314,0.03589838999309708,0.5442175983329013,0.5497894778225512,-0.005571879489649878
11,2000,1.649050268879,3.0,2.5153965377046776,2.5159262094457344,0.2515535770137196,0.1350949731121,-0.009366032165000003,0.0,2.1646940557065424,2.1653371848233207,0.1082556006701387,0.0004683016082500002,-0.08015555325,0.0,1.1638610959430478,1.1628915395918598,0.046524756648914575,0.00320622213,0.040450087024000006,0.0,0.5044314085977554,0.5042281640911069,0.015127808318676716,-0.0012135026107200002,0.13513927451147736,0.045895838977205825,0.038695940375308574,0.5425567274799453,0.5675354236006501,-0.024978696120704802
12,2000,1.99781478775,3.3,2.4814998264739443,2.4862820756617823,0.24823512023038444,0.13021852122499997,-0.018785197329500007,0.0,2.0484631944252687,2.046737118331013,0.10242656978522446,0.0009392598664750004,-0.08972761043,0.0,1.1875332858540817,1.1856829991452025,0.04744395139885757,0.0035891044172,0.04285913716725,0.0,0.4709240903020183,0.4697182039173164,0.014096555097415319,-0.0012857741150174998,0.13027770478756123,0.04207630638695152,0.03728075925185623,0.5302149978485983,0.5725682150921726,-0.042353217243574326
13,2000,2.274196560085,3.6,2.381047313914532,2.404618115170994,0.2384636270559776,0.1325803439915,-0.051271274685,0.0,1.9959553743848026,1.9756926878932342,0.09953333901881009,0.0025635637342500002,-0.13518191754499997,0.0,1.1817046166088812,1.180077024715802,0.047216927557999215,0.005407276701799999,0.02297890757,0.0,0.4814235969549043,0.47974307408309036,0.0143994990509089,-0.0006893672270999999,0.13271711773704123,0.04180528969461677,0.03460428541293008,0.5471210857510413,0.5709368741698997,-0.02381578841885834
