gen,N,a_bar_1,z_opt_1,G_11,eig_G_1,mu_1,b_1,a_bar_2,z_opt_2,G_22,eig_G_2,mu_2,b_2,a_bar_3,z_opt_3,G_33,eig_G_3,mu_3,b_3,a_bar_4,z_opt_4,G_44,eig_G_4,mu_4,b_4,b_norm,V_lin,V_quad,A_g,R2_empirical,Ag_minus_R2
1,2000,1.0939499983209089e-08,0.0,3.556133372479719,3.556632684952466,0.3556309904465106,-1.093949998320909e-09,3.2440000008904233e-08,0.0,1.6114744472934206,1.611369644697719,0.08056988958811406,-1.6220000004452117e-09,-1.66030000023909e-08,0.0,0.5941576686767486,0.5954912987922008,0.023773599971532777,6.64120000095636e-10,4.233149999777197e-08,0.0,0.5112186220486854,0.509490482056189,0.015315445015015932,-1.269944999933159e-09,2.4251652062597393e-09,9.496691633017529e-18,0.06688232769291075,1.4199104547648895e-16,6.130127597532572e-05,-6.130127597518373e-05
2,2000,-0.0013985131449999954,0.3,3.1680279237435545,3.1719498758556512,0.31692790612220556,0.0301398513145,0.019533666183999994,0.0,1.668923854802328,1.6673200396345882,0.0833876580086894,-0.0009766833091999997,0.0037496043494999985,0.0,0.6148862134005795,0.621568244871088,0.02468074563200547,-0.00014998417397999995,0.0010916475209999978,0.0,0.5036387532906907,0.4946385848758243,0.014957286486315417,-3.2749425629999935e-05,0.03015606266282057,0.002883765359544239,0.05411482940558254,0.050593622025724067,0.03426895889450423,0.016324663131219837
3,2000,0.011404108824999992,0.6,3.0682379629753815,3.076391226591724,0.3070762479844625,0.0588595891175,-0.0021111335799999936,0.0,1.6731949652571774,1.6707157886125397,0.08355789649610437,0.00010555667899999969,0.016480605141000006,0.0,0.6497796156792788,0.653768599259744,0.026038024741688016,-0.0006592242056400003,0.005810872144499998,0.0,0.5316578954428797,0.5219948248907099,0.01575229682859963,-0.00017432616433499994,0.05886363342045986,0.010629243855840777,0.051101928865446976,0.1721860024242715,0.19804492891531283,-0.025858926491041323
4,2000,0.2156859304955,0.9,2.9249341504012256,2.929592334877363,0.2926338770542801,0.06843140695045001,0.00029036081499999656,0.0,1.635924125367777,1.6327375513589122,0.0816940990464032,-1.451804074999983e-05,0.008282220745,0.0,0.6355705525133741,0.636805506245912,0.025438782490752116,-0.00033128882980000004,0.004704365187999997,0.0,0.5219841096911848,0.5192775454913747,0.01560520810834641,-0.0001411309556399999,0.06843235593070719,0.013697632491296522,0.04659958299676984,0.227168574542343,0.26382196030170135,-0.036653385759358365
5,2000,0.37066854899999996,1.2,3.030026704346195,3.031301218048512,0.303041796242824,0.08293314510000001,-0.005886300405,0.0,1.5330441201978422,1.534525874991588,0.07669379596343318,0.00029431502025000004,0.011009253220999994,0.0,0.6157753263545052,0.6200695475942044,0.024665973709928513,-0.0004403701288399998,-0.017661313509999995,0.0,0.5169053671373997,0.5098548774016372,0.015391484596628202,0.0005298394052999999,0.08293652894325024,0.020837941423924953,0.04928078833325254,0.29718081739482655,0.3137424613465845,-0.016561643951757965
6,2000,0.629823580096,1.5,2.989280402353266,2.9928295234270896,0.29904586898004293,0.0870176419904,0.03220590030300001,0.0,1.507905105422236,1.5053933142954974,0.07530375752454443,-0.0016102950151500005,0.0321392636655,0.0,0.5883407335898243,0.5923746495336085,0.023593337527088615,-0.00128557054662,-0.011817610574000005,0.0,0.4789408898403625,0.4738696439494925,0.014282187513566217,0.0003545283172200001,0.08704275644511317,0.022621458495729246,0.04792985705359213,0.3206383654166579,0.3065816297019629,0.014056735714695012
7,2000,0.8406321143350001,1.8,2.988137232388547,2.9885164846894896,0.2988237959482547,0.09593678856650001,-0.01726093734999999,0.0,1.4780124719600052,1.4794700706384558,0.07394866771053124,0.0008630468674999996,0.033829171835,0.0,0.579940715797975,0.5794946144200079,0.023166820991037403,-0.0013531668734,0.01638081035,0.0,0.4872240145696541,0.4858332649682269,0.014589411256040461,-0.0004914243105,0.09595147111320933,0.027508790040747685,0.04775680949835765,0.36548954913266973,0.3982236737533678,-0.03273412462069808
8,2000,1.06632832665,2.1,2.955473654609857,2.9575054603577433,0.2956115905396173,0.10336716733500001,0.015000927323,0.0,1.5924222469722726,1.5914206891076774,0.07958630280069609,-0.0007500463661500001,0.034467073300000005,0.0,0.5827506307411432,0.587226285707037,0.023355241116967903,-0.0013786829320000002,-0.0008608820235000021,0.0,0.5077784325513442,0.5022725297021596,0.01515872155850413,2.5826460705000062e-05,0.10337908534150575,0.03159530757630015,0.04724772309088321,0.4007368477458971,0.44025728627637656,-0.039520438530479485
9,2000,1.3047619562700001,2.4,2.850450807889955,2.852302289905317,0.2850984431243051,0.10952380437299998,0.0015788159700000008,0.0,1.6963426213359631,1.696015287748874,0.0848171667022625,-7.894079850000005e-05,0.049075739086,0.0,0.5724938807243148,0.5715033789556366,0.022855310119850397,-0.00196302956344,-0.015775390928500006,0.0,0.49063002050518556,0.49009637384559046,0.014709947753503727,0.00047326172785500017,0.10954244573549939,0.034201601233797084,0.044606910901443704,0.4339835927254254,0.44681027764020825,-0.012826684914782838
10,2000,1.5719598129295,2.7,2.7307387497414126,2.7329890275243875,0.27313495532675064,0.11280401870705002,-0.04535451867499999,0.0,1.6400669975315518,1.6402050656492058,0.0820146381664398,0.0022677259337499996,0.02487464536635,0.0,0.6182898399612919,0.6229445911971722,0.024773516138348946,-0.000994985814654,-0.024611072168,0.0,0.5143700061594785,0.507326909022971,0.015316809002415518,0.00073833216504,0.11283361355787729,0.03474848880077726,0.041088718217395806,0.45819842485035595,0.48343833486542964,-0.025239910015073697
