generation,sigma2,sigma,b_mag,Vlin,Vquad,Ag
0,10.0,3.1622776601683795,1.0,10.0,0.5000000000000001,0.9523809523809523
1,6.833383333333334,2.6140740871928885,0.9950124791926823,6.765390033111004,0.23347563890138898,0.966640931567664
2,5.338635704591855,2.3105487886196765,0.990049833749168,5.23292363490901,0.1425051559317149,0.9734895277239034
3,4.5032889049436235,2.1220954042982196,0.9851119396030626,4.370196604081092,0.10139805480694172,0.977323961015698
4,3.9920777444878555,1.998018454491313,0.9801986733067553,3.8355461371789574,0.07968342359017623,0.9796478284725346
5,3.6616884528532783,1.9135538803109982,0.9753099120283326,3.4831057997085333,0.06703981162879519,0.9811163205771886
6,3.4405838577152688,1.8548810899125767,0.9704455335485082,3.2402198520187153,0.059188086409854415,0.9820609977564506
7,3.2891497028313674,1.8136013075732405,0.9656054162575665,3.066782855665453,0.054092528838178375,0.9826675140229023
8,3.183788837772739,1.784317471128033,0.9607894391523232,2.9390075195913243,0.05068255681763145,0.983047554922981
9,3.109686494559683,1.7634303203017927,0.9559974818330998,2.8420394637948614,0.04835075047223446,0.9832718951809438
10,3.057178707456422,1.74847896969235,0.951229424500714,2.766249688129381,0.0467317082466246,0.9833871250244208
11,3.0197825643417753,1.7377521584914735,0.9464851479534838,2.7052243023106466,0.04559543367951295,0.9834247831353803
12,2.9930591951346406,1.730046009542706,0.9417645335842487,2.6546053684691198,0.04479201672790012,0.9834066606963721
13,2.973923531152894,1.724506750103604,0.9370674633774034,2.6113886646124977,0.04422110584572451,0.9833480406881866
14,2.96020792929576,1.720525480571491,0.9323938199059482,2.5734811418261145,0.043814154923327464,0.9832597586608808
15,2.950377234640839,1.7176662174709145,0.9277434863285529,2.539413219318274,0.043523629133434626,0.983149557388705
16,2.943337954172028,1.7156159110278817,0.9231163463866358,2.5081471564762086,0.04331619156234791,0.9830230006652271
17,2.93830793401868,1.714149332473306,0.9185122844014574,2.478947024257569,0.04316826757558563,0.9828841021997017
18,2.934726021820876,1.7131042063519883,0.9139311852712282,2.4512892246804845,0.043063084115762935,0.9827357651267216
