gen,N,a_bar_1,z_opt_1,G_11,eig_G_1,mu_1,b_1,a_bar_2,z_opt_2,G_22,eig_G_2,mu_2,b_2,a_bar_3,z_opt_3,G_33,eig_G_3,mu_3,b_3,a_bar_4,z_opt_4,G_44,eig_G_4,mu_4,b_4,b_norm,V_lin,V_quad,A_g,R2_empirical,Ag_minus_R2
1,2000,2.465500000425891e-08,0.0,2.4897139976918865,2.494848493817827,0.2490925608336807,-2.465500000425891e-09,7.182500000002534e-08,0.0,1.7225888155256357,1.7188845804925705,0.08604668080795094,-3.5912500000012672e-09,1.76600000063587e-08,0.0,1.229853237701148,1.228813475999941,0.04916617023606745,-7.064000002543481e-10,2.7067450002249416e-08,0.0,0.4046118672341996,0.4042213678425309,0.012127914192843077,-8.120235000674825e-10,4.487109307742609e-09,3.7166362603017787e-17,0.03600776686954868,1.0321762729043017e-15,0.0031908321733010517,-0.0031908321733000195
2,2000,0.025362548025499997,0.3,2.1813743047674214,2.1846267666141443,0.21821200924074763,0.027463745197450002,0.010857659309500002,0.0,1.5640975360900953,1.5657374450856436,0.07824378770728728,-0.0005428829654750001,0.0288845638525,0.0,1.2269227762208363,1.2224879384495855,0.048975331883155046,-0.0011553825541,-0.019922421141,0.0,0.4056059226325129,0.40514838956149046,0.012156267177865901,0.0005976726342299999,0.0274998935199518,0.0016471833732823594,0.02814246462821598,0.05529381794640576,0.04636138518016539,0.008932432766240374
3,2000,0.07554157087,0.6,2.2495121479204,2.255601384721415,0.22510025500234837,0.052445842913,0.047598083547,0.0,1.5266512773649603,1.5213627405093675,0.07620319941558244,-0.00237990417735,0.025203392534499998,0.0,1.1760182968561799,1.1753405128879855,0.04702424971733861,-0.00100813570138,-0.015141721858,0.0,0.4026287861890056,0.4025058702117767,0.012075669984935877,0.00045425165574,0.052511456511008914,0.0062150620557151585,0.02941707713517852,0.17442292820026672,0.19657939203745678,-0.022156463837190055
4,2000,0.2151279187715,0.9,2.3238090841535803,2.3267166628613802,0.23244948070141055,0.06848720812285002,0.019433755314999992,0.0,1.6661779109259585,1.6653244261987998,0.08329411333455818,-0.0009716877657499996,-0.01302108682,0.0,1.1662907907702647,1.165999928749866,0.04664402633962857,0.0005208434728,-0.0018223133545000013,0.0,0.4205721734032155,0.4188089414429722,0.012570980418965802,5.466940063500004e-05,0.06849610295661503,0.010895777485961829,0.0316521825682058,0.2560822533463522,0.2595955769279066,-0.003513323581554373
5,2000,0.325435458076,1.2,2.0848313942234498,2.0859017995609297,0.20850215814203615,0.0874564541924,-0.012857149862500005,0.0,1.73205981295937,1.7444344376506669,0.08695593669949021,0.0006428574931250003,-0.014264057050000003,0.0,1.201428329503567,1.189291255547374,0.04771989401622738,0.0005705622820000001,-0.004020935837500003,0.0,0.4161298265432398,0.41482187047065583,0.012449169188999923,0.00012062807512500009,0.0874607611338592,0.01594463946041759,0.026733327487794296,0.3736035383261301,0.37128965232523786,0.002313886000892218
6,2000,0.4401418556635,1.5,2.088287687973494,2.094032582706217,0.20892574106541617,0.10598581443365002,-0.07073419970500001,0.0,1.7294168191237003,1.724883827994673,0.0864050574069809,0.003536709985250001,-0.007518594754049996,0.0,1.2125860091662721,1.2130776998207633,0.0485165293300078,0.00030074379016199987,0.00790951933,0.0,0.41176348484515796,0.4100598905869723,0.012308626863135172,-0.00023728557989999998,0.10604549933852739,0.023508360730179242,0.02681057756936121,0.46718713718158744,0.4591518340851496,0.008035303096437851
7,2000,0.7139236893800001,1.8,2.102428550254201,2.109795907292219,0.21036352706535286,0.108607631062,-0.08623093186349999,0.0,1.7112967490262148,1.704435685990378,0.08545631296871903,0.004311546593175,0.017054929146499993,0.0,1.1843903738104278,1.184092162568462,0.047368916402772736,-0.0006821971658599997,0.014889220709,0.0,0.40293795946948013,0.402729876709264,0.012082689776387918,-0.00044667662127,0.10869623669613278,0.02478396553531654,0.026972700289494167,0.47885552788904334,0.48466339308478834,-0.005807865195744999
8,2000,0.907270425779,2.1,2.06001134405211,2.0604968979572726,0.2060124793221633,0.1192729574221,-0.10551694051999999,0.0,1.663648896875932,1.663779315315405,0.08318678562477726,0.005275847026,0.0193014679885,0.0,1.2071834747133985,1.2070237261789263,0.048283481857923194,-0.00077205871954,0.054943517155,0.0,0.40169633180923775,0.4012401079990745,0.012039061386957046,-0.00164830551465,0.11940345857550307,0.029371535421766706,0.025918708279225367,0.531224560712864,0.5378413372790034,-0.0066167765661394595
9,2000,1.03819934784,2.4,2.0015951754101104,2.0092841582877847,0.20028267318863724,0.13618006521599998,-0.1341776694625,0.0,1.6501734165229214,1.6438263407779439,0.08241266052437474,0.006708883473125001,0.03153061221000001,0.0,1.2767016161999731,1.2755051980276586,0.05104464714460125,-0.0012612244884000004,0.07101933548295,0.0,0.41910535409179384,0.41895986513141226,0.012569432780296718,-0.0021305800644885,0.13636769902844043,0.037127449965803486,0.024834271218413764,0.5991997842574539,0.6000343988181996,-0.0008346145607457389
10,2000,1.249105440971,2.7,2.068178693906303,2.076532156155266,0.20695253623564133,0.1450894559029,-0.141541236775,0.0,1.6787805397804325,1.6749402889106277,0.08392003961024905,0.00707706183875,0.015811274300000004,0.0,1.2356095723205112,1.231097996002759,0.04930874594784877,-0.0006324509720000001,0.08334653238414998,0.0,0.4311354697352521,0.43113383467384614,0.012934021570790665,-0.002500395971524499,0.1452848477740038,0.043507613663466484,0.026235283321746714,0.6238285982397735,0.6443870027289719,-0.020558404489198323
