gen,N,a_bar_1,z_opt_1,G_11,eig_G_1,mu_1,b_1,a_bar_2,z_opt_2,G_22,eig_G_2,mu_2,b_2,a_bar_3,z_opt_3,G_33,eig_G_3,mu_3,b_3,a_bar_4,z_opt_4,G_44,eig_G_4,mu_4,b_4,b_norm,V_lin,V_quad,A_g,R2_empirical,Ag_minus_R2
1,2000,1.493974999888792e-08,0.0,2.0970772164020923,2.0972474332669395,0.20971274221163452,-1.4939749998887919e-09,-3.591149999238041e-08,0.0,1.8055323591982124,1.8055428143304164,0.0902769728731448,1.7955749996190206e-09,2.86689999970946e-08,0.0,0.7765066413532761,0.7763854491474648,0.031056414726481987,-1.146759999883784e-09,-1.6831499999092614e-08,0.0,0.32097984998209,0.32092037019084896,0.009627870942452292,5.049449999727784e-10,2.6506751649118623e-09,1.1679086793410604e-17,0.026593281435804868,4.391743388871905e-16,0.0011077692431470316,-0.0011077692431465925
2,2000,-0.011133649465499992,0.3,2.0195377372088736,2.020649883284432,0.20197101907262932,0.03111336494655,-0.004677290417249996,0.0,1.680837011270957,1.6799834954264719,0.08403204273839524,0.0002338645208624998,-0.012400185794900006,0.0,0.792054544866327,0.7924746345281457,0.03169266759937605,0.0004960074317960002,-0.008093996019999997,0.0,0.29806122896708176,0.2973825090741891,0.008923913537700156,0.00024281988059999992,0.03111914452195201,0.0019558827388593087,0.024468869082208383,0.07401707127103233,0.0781183174789618,-0.004101246207929468
3,2000,0.052820247249499984,0.6,1.966618583232076,1.9685739279176773,0.19669744021747337,0.054717975275050006,-0.06748429517849999,0.0,1.6488156222280161,1.6479426442403164,0.08243642910955404,0.0033742147589249996,-0.044775500837,0.0,0.7215143910287406,0.7218699663590983,0.028867049472600357,0.00179102003348,-0.0030193498588500026,0.0,0.30103775584796266,0.29959981381970313,0.00899342895156883,9.058049576550007e-05,0.054851236093882795,0.005912704078568492,0.023199918071000813,0.20309761340601074,0.21058253529388005,-0.007484921887869311
4,2000,0.19919771989,0.9,1.8930927107337228,1.8938329280591497,0.18932692912755056,0.070080228011,-0.03820671934500001,0.0,1.6766497285022393,1.6766008007447255,0.08383454128292019,0.0019103359672500006,-0.043034850415000006,0.0,0.7148001632843114,0.7147494275006792,0.028588811534041608,0.0017213940166000002,-0.0237459584895,0.0,0.31652445482695807,0.3158839010426777,0.009479215730153267,0.000712378754685,0.07013100899339772,0.009305194997342704,0.021890046040386944,0.29828892766330506,0.33348347962483166,-0.0351945519615266
5,2000,0.336833760009,1.2,2.0242499100839915,2.0289005297695786,0.20252106424608154,0.0863166239991,0.012447995004999995,0.0,1.6436648554831625,1.6409307464315095,0.08214056658669788,-0.0006223997502499998,-0.04986035199349999,0.0,0.7344046976723353,0.7339324040045323,0.029360956643838695,0.0019944140797399997,-0.025004269602499997,0.0,0.313988293346975,0.3125440763808452,0.009381483013241806,0.0007501280880749998,0.08634516396255845,0.015083197887760023,0.02435596607055918,0.3824421304594721,0.4108178674740104,-0.02837573701453827
6,2000,0.45259570730500004,1.5,1.917737792785274,1.9190237667133097,0.19180141564642045,0.1047404292695,0.050706357295000004,0.0,1.6049042284433306,1.6080135051578397,0.08034941726080677,-0.0025353178647500004,-0.05693806264199999,0.0,0.7576933379217718,0.7557492595966157,0.030242362078167762,0.0022775225056799998,0.009625261739999998,0.0,0.3145792480136128,0.31212807569622414,0.009370906672578276,-0.0002887578521999999,0.1047962587600127,0.021039029005922975,0.022123113127027666,0.4874417247669795,0.4673659821633269,0.02007574260365258
7,2000,0.6263861325350001,1.8,1.8739020900887702,1.8777033628029,0.1874501083384543,0.11736138674649998,0.040537178927000005,0.0,1.5573225968936144,1.5560001726601245,0.07788835109836922,-0.0020268589463500004,-0.07280421634850001,0.0,0.7365391127431451,0.7346220981783681,0.029393699895404978,0.0029121686539400004,0.014411148968499998,0.0,0.318977485642324,0.3184156517264614,0.00955506860032465,-0.0004323344690549999,0.11741580343212776,0.0257933959209419,0.02107971364120958,0.5502813054623804,0.5696146624119993,-0.019333356949618907
8,2000,0.7434865254399999,2.1,1.8210127538402612,1.821956708721177,0.18212021541996914,0.13565134745600002,0.04021679206999999,0.0,1.6578875509119317,1.6576452325606796,0.08289479907644504,-0.0020108396035,-0.10229276286500001,0.0,0.7506315053876189,0.7502372902362672,0.030014012792660385,0.004091710514600001,0.004445951237999999,0.0,0.3292381877694979,0.32893076639118596,0.009869031489137868,-0.00013337853713999996,0.13572800531691648,0.03351002124335908,0.02051877966249586,0.6202251517991342,0.6209231581822481,-0.0006980063831139027
9,2000,0.96454414178,2.4,1.8817229657391576,1.8851318372463317,0.18822772019757186,0.143545585822,0.057189594042000004,0.0,1.6621986352752551,1.6598687133853327,0.08308616218970477,-0.0028594797021000004,-0.072633701695,0.0,0.7059336432635481,0.704949042311326,0.02820816269269788,0.0029053480678,0.005040485933499998,0.0,0.32315452058624056,0.3230601719212119,0.009692164605833229,-0.00015121457800499992,0.14360353667786724,0.03884051537448897,0.021611311747716796,0.6425035805116581,0.6539559836965034,-0.011452403184845306
10,2000,1.22317323038,2.7,1.93028815666942,1.935220881926517,0.19309950183066885,0.14768267696200002,0.06527785715099997,0.0,1.6434066425355631,1.6392549712893831,0.08212428055946701,-0.003263892857549999,-0.08451599500000001,0.0,0.7243571762250707,0.7246854709059347,0.02897773666765779,0.0033806398000000007,0.008618971754499999,0.0,0.31522827950379106,0.3141189308120098,0.009428764170043165,-0.00025856915263499996,0.14775764499582436,0.042109148430086264,0.02248021294040845,0.6519517694027284,0.6632388283727859,-0.01128705897005755
