triple_id,G_scale,architecture,Ag,R2,spearman,ms_diff,excess_kurtosis
0,0.1,infinitesimal,0.5833282753513066,0.5870889431446784,0.8051274499378185,0.007490991320383958,0.0035018230164639563
0,0.1,oligogenic,0.5833282753513066,0.5778873918555154,0.7966535272136336,0.008378495308744814,-0.04852224443693165
0,0.1,monogenic,0.5833282753513066,0.5995595671271745,0.8045880021074698,0.007152476125802135,-0.005563468659122606
1,0.1,infinitesimal,0.6422947618435119,0.6478728413892928,0.8395485354813713,0.00906950211367895,-0.0349081281947915
1,0.1,oligogenic,0.6422947618435119,0.6597130602117569,0.8384907880777269,0.011405107426574303,-0.07539376054680424
1,0.1,monogenic,0.6422947618435119,0.651850961836383,0.8411815936409539,0.010669650303394656,-0.03921547714532092
2,0.1,infinitesimal,0.5428928223136443,0.5515878268975138,0.7917477218108692,0.07778549417156028,-0.07544481352899668
2,0.1,oligogenic,0.5428928223136443,0.5559237553713481,0.796736810077342,0.07484373978752265,-0.07974405574764643
2,0.1,monogenic,0.5428928223136443,0.5637298493136801,0.796770917932427,0.07240398491904798,-0.06296023983149457
3,0.1,infinitesimal,0.8391486863594377,0.839805829260906,0.9251860810739652,0.009368243382003094,-0.022307615414745574
3,0.1,oligogenic,0.8391486863594377,0.84124370687442,0.9242550973161375,0.01145774584688694,-0.0050285993590482025
3,0.1,monogenic,0.8391486863594377,0.8465612503706844,0.9261686250744213,0.010662086195358363,-0.05254977365627822
4,0.1,infinitesimal,0.7834294157748436,0.7902997963044109,0.9120649816621623,0.01628798518615775,-0.045017489940784694
4,0.1,oligogenic,0.7834294157748436,0.79069705738751,0.9109846773214616,0.01624524013275451,-0.05282706278866589
4,0.1,monogenic,0.7834294157748436,0.7893737323328739,0.9127259549523147,0.016808959025651278,-0.12142969856619112
5,0.1,infinitesimal,0.6391058577442,0.6344273258326821,0.8731393060428482,0.11314821658883245,0.004406933842403871
5,0.1,oligogenic,0.6391058577442,0.6633273427240083,0.8789410084663524,0.10282807796074002,-0.05423788950344133
5,0.1,monogenic,0.6391058577442,0.6544826385647757,0.8770854177192134,0.10505499166245535,-0.05525941340096385
6,0.1,infinitesimal,0.7821173102040568,0.7847253828948831,0.90270402689176,0.005399596575588639,-0.0038314453139567384
6,0.1,oligogenic,0.7821173102040568,0.786050564888205,0.9017303322118256,0.0049668709977384795,-0.00901896842862071
6,0.1,monogenic,0.7821173102040568,0.7913628114916862,0.9019424740113561,0.005376283401231558,-0.043397317477567254
7,0.1,infinitesimal,0.4822509568582644,0.4780680208912641,0.7680967705787418,0.021450063666095535,-0.0005427406935084589
7,0.1,oligogenic,0.4822509568582644,0.4852957251858426,0.7661494358968735,0.022328954275639426,-0.026104282147934588
7,0.1,monogenic,0.4822509568582644,0.49589415588481306,0.7763828476514569,0.018390336411529748,-0.04139625464526886
8,0.1,infinitesimal,0.5793665909493454,0.5831916213719093,0.8123774397749435,0.04427386144227281,-0.008953368645882254
8,0.1,oligogenic,0.5793665909493454,0.5891460206263522,0.8161547225748866,0.042455464770490295,-0.010001200794058418
8,0.1,monogenic,0.5793665909493454,0.599847306599037,0.8123231051893077,0.04417036007034823,-0.12700749675968948
9,0.1,infinitesimal,0.5515020620878007,0.5366571898714397,0.7961223774958059,0.05332800320396288,-0.0017396373748534977
9,0.1,oligogenic,0.5515020620878007,0.5686426276302037,0.807073639047184,0.046190336878822326,-0.045390501495146784
9,0.1,monogenic,0.5515020620878007,0.5486292761056343,0.8023881847594703,0.05135349433238234,-0.032458364986094335
10,0.16256135930564983,infinitesimal,0.5136159313574116,0.5295941474017534,0.7692607068061516,0.08997487889890883,-0.026560009966532627
10,0.16256135930564983,oligogenic,0.5136159313574116,0.5166792956996642,0.76555608064039,0.09277797018466064,-0.02728801202829667
10,0.16256135930564983,monogenic,0.5136159313574116,0.524296178946745,0.7701386168843464,0.09160346569431427,-0.1360545404766429
11,0.16256135930564983,infinitesimal,0.6449395867876706,0.6478433555467833,0.8611910490979774,0.1044929263097596,-0.020922097846130527
11,0.16256135930564983,oligogenic,0.6449395867876706,0.6396629419295382,0.8570130932930325,0.10779131245486646,-0.02544849363768331
11,0.16256135930564983,monogenic,0.6449395867876706,0.6593676015101329,0.8630059343900146,0.09914101421456986,-0.1111662816221698
12,0.16256135930564983,infinitesimal,0.43976277849764345,0.441626368857015,0.6960330772710825,0.051846422102121675,-0.01979062357864625
12,0.16256135930564983,oligogenic,0.43976277849764345,0.445493988996558,0.6901541674098852,0.05273421101663192,-0.06084142344434673
12,0.16256135930564983,monogenic,0.43976277849764345,0.46805724616009153,0.7042002028930004,0.04725497267598355,-0.02530155442020987
13,0.16256135930564983,infinitesimal,0.7748608356056552,0.7774535809595241,0.9230952979162381,0.0548155202119546,-0.001229080084584444
13,0.16256135930564983,oligogenic,0.7748608356056552,0.7730658491242816,0.922262890530157,0.05695423871967816,-0.0032903017091268083
13,0.16256135930564983,monogenic,0.7748608356056552,0.7771418605844332,0.9224947121212367,0.05623683608698744,-0.0871687627252502
14,0.16256135930564983,infinitesimal,0.5469268174874855,0.5400637055660243,0.7936934434872335,0.020259794691138543,-0.02088619969522776
14,0.16256135930564983,oligogenic,0.5469268174874855,0.5474176460083519,0.7951573622583933,0.020504693963599097,-0.06879626379227899
14,0.16256135930564983,monogenic,0.5469268174874855,0.5527247739212087,0.799091258615728,0.021458648355537274,-0.015063841767951058
15,0.16256135930564983,infinitesimal,0.7913167633679384,0.7942236861019755,0.9395349708388373,0.04383895537571103,-0.04951577094244819
15,0.16256135930564983,oligogenic,0.7913167633679384,0.7945290993477145,0.9405837539739593,0.04536385038169001,-0.07607098193789164
15,0.16256135930564983,monogenic,0.7913167633679384,0.7966966921169866,0.94269607866474,0.043287822749383566,-0.027593959293842563
16,0.16256135930564983,infinitesimal,0.744820447668606,0.7487252190406092,0.8946214298610534,0.03882470260949598,-0.05857338340836804
16,0.16256135930564983,oligogenic,0.744820447668606,0.7437111898842395,0.891849668058624,0.03928241466700933,-0.08138261698231941
16,0.16256135930564983,monogenic,0.744820447668606,0.760591223370286,0.896471636530679,0.032203519071788284,-0.1330804404350443
17,0.16256135930564983,infinitesimal,0.8750470753470523,0.8747657842844526,0.9457978817899946,0.020734633053142142,0.01565456752556338
17,0.16256135930564983,oligogenic,0.8750470753470523,0.8768467982365814,0.9465665309004161,0.020928758138596886,-0.009292440628168697
17,0.16256135930564983,monogenic,0.8750470753470523,0.8825634682999719,0.9494857741087143,0.021890798590864312,-0.046136657262266345
18,0.16256135930564983,infinitesimal,0.7310244009986056,0.7326423423427771,0.9104129592035324,0.05487469466727734,-0.02883777022780165
18,0.16256135930564983,oligogenic,0.7310244009986056,0.7258372565681552,0.910244466189111,0.05795022980148606,-0.024563395038279312
18,0.16256135930564983,monogenic,0.7310244009986056,0.7398734170253021,0.9128014081940033,0.05661840310895985,-0.04720820152254579
19,0.16256135930564983,infinitesimal,0.6732042081789646,0.6615695327188796,0.8688631449256577,0.07117164703307459,-0.015331404356263567
19,0.16256135930564983,oligogenic,0.6732042081789646,0.6717413026701821,0.8746809198297022,0.06586519627391979,0.008984048448063442
19,0.16256135930564983,monogenic,0.6732042081789646,0.6827830168449465,0.8838344041785859,0.06662221122010654,-0.11107872945826813
20,0.2642619553930058,infinitesimal,0.5473577806197786,0.5561853048687956,0.7954403397431008,0.03213757309829437,-0.015107394694579557
20,0.2642619553930058,oligogenic,0.5473577806197786,0.5556344725803842,0.794025272157563,0.0324653562634792,-0.04046689554978966
20,0.2642619553930058,monogenic,0.5473577806197786,0.5601594648723468,0.7991185623807964,0.030291938398860442,-0.034416009337082665
21,0.2642619553930058,infinitesimal,0.5165688952263635,0.5196422443618666,0.7767693521739233,0.039820865015210594,-0.028039048460232863
21,0.2642619553930058,oligogenic,0.5165688952263635,0.5172678201468445,0.7707131740117829,0.04346915858632239,-0.032778997106801766
21,0.2642619553930058,monogenic,0.5165688952263635,0.5299464773487318,0.7820506395831265,0.03333994114537809,-0.15814629557505366
22,0.2642619553930058,infinitesimal,0.7057967359750486,0.7036445265397294,0.8815306762203265,0.1036362846049173,-0.036428319764277295
22,0.2642619553930058,oligogenic,0.7057967359750486,0.7019564267347935,0.8774637244071591,0.10685844146348443,-0.015377790504421895
22,0.2642619553930058,monogenic,0.7057967359750486,0.7074158619558998,0.8827534961748836,0.10352336030615017,-0.04865050001517346
23,0.2642619553930058,infinitesimal,0.35469497880005446,0.3682834153380791,0.682038445816096,0.04865388902210126,-0.02361989422158961
